id,counterbalancing,attention,age,gender,type,dilemma,order,decision,confidence,understand,feedback
1,IB_First,YouTube,19,Female,IH,EnemySpy,Pre,7,5,6,
1,IB_First,YouTube,19,Female,IH,EnemySpy,Post,7,7,7,
1,IB_First,YouTube,19,Female,IB,Exam,Pre,7,7,7,
1,IB_First,YouTube,19,Female,IB,Exam,Post,7,7,7,
2,IB_First,TikTok,28,Male,IH,Bomb,Pre,2,3,7,
2,IB_First,TikTok,28,Male,IH,Bomb,Post,2,3,7,
2,IB_First,TikTok,28,Male,IB,Exam,Pre,6,7,7,
2,IB_First,TikTok,28,Male,IB,Exam,Post,6,6,7,
3,IH_First,TikTok,33,Female,IH,Bomb,Pre,4,3,7,
3,IH_First,TikTok,33,Female,IH,Bomb,Post,5,4,7,
3,IH_First,TikTok,33,Female,IB,Donation,Pre,3,5,7,
3,IH_First,TikTok,33,Female,IB,Donation,Post,4,6,7,
4,IB_First,TikTok,37,Female,IH,Bomb,Pre,5,4,5,
4,IB_First,TikTok,37,Female,IH,Bomb,Post,6,5,5,
4,IB_First,TikTok,37,Female,IB,Donation,Pre,5,3,5,
4,IB_First,TikTok,37,Female,IB,Donation,Post,6,6,6,
5,IB_First,TikTok,24,Female,IH,EnemySpy,Pre,4,4,3,
5,IB_First,TikTok,24,Female,IH,EnemySpy,Post,5,5,5,
5,IB_First,TikTok,24,Female,IB,Donation,Pre,3,4,7,
5,IB_First,TikTok,24,Female,IB,Donation,Post,7,7,7,
6,IH_First,TikTok,64,Male,IH,Bomb,Pre,5,3,4,
6,IH_First,TikTok,64,Male,IH,Bomb,Post,6,4,4,
6,IH_First,TikTok,64,Male,IB,Volunteering,Pre,5,4,4,
6,IH_First,TikTok,64,Male,IB,Volunteering,Post,7,5,4,
7,IB_First,TikTok,40,Female,IH,Hostage,Pre,1,3,7,
7,IB_First,TikTok,40,Female,IH,Hostage,Post,3,4,7,
7,IB_First,TikTok,40,Female,IB,Marathon,Pre,5,5,7,
7,IB_First,TikTok,40,Female,IB,Marathon,Post,7,7,7,
8,IB_First,TikTok,43,Female,IH,Passcode,Pre,5,2,5,
8,IB_First,TikTok,43,Female,IH,Passcode,Post,5,3,5,
8,IB_First,TikTok,43,Female,IB,Marathon,Pre,5,3,5,Presumably the money cannot be split. This is what I would do in practice.
8,IB_First,TikTok,43,Female,IB,Marathon,Post,5,4,6,
9,IH_First,TikTok,43,Female,IH,Passcode,Pre,2,4,6,
9,IH_First,TikTok,43,Female,IH,Passcode,Post,4,4,6,
9,IH_First,TikTok,43,Female,IB,Exam,Pre,6,5,6,
9,IH_First,TikTok,43,Female,IB,Exam,Post,6,5,6,
10,IB_First,TikTok,27,Female,IH,Bomb,Pre,1,7,7,
10,IB_First,TikTok,27,Female,IH,Bomb,Post,1,7,7,The decision shouldnt lay on her shoulders and she shouldnt murder anyone no matter how 'helpful' it may be
10,IB_First,TikTok,27,Female,IB,Architect,Pre,4,2,7,
10,IB_First,TikTok,27,Female,IB,Architect,Post,6,5,7,
11,IH_First,TikTok,54,Female,IH,EnemySpy,Pre,5,5,7,
11,IH_First,TikTok,54,Female,IH,EnemySpy,Post,7,7,7,
11,IH_First,TikTok,54,Female,IB,Donation,Pre,1,7,7,
11,IH_First,TikTok,54,Female,IB,Donation,Post,1,7,7,
12,IB_First,TikTok,29,Female,IH,Sniper,Pre,6,5,7,
12,IB_First,TikTok,29,Female,IH,Sniper,Post,7,6,7,
12,IB_First,TikTok,29,Female,IB,Architect,Pre,5,3,7,
12,IB_First,TikTok,29,Female,IB,Architect,Post,6,4,7,
13,IB_First,TikTok,50,Male,IH,Passcode,Pre,1,7,7,
13,IB_First,TikTok,50,Male,IH,Passcode,Post,1,6,7,
13,IB_First,TikTok,50,Male,IB,Marathon,Pre,1,7,7,
13,IB_First,TikTok,50,Male,IB,Marathon,Post,2,6,7,
14,IH_First,TikTok,44,Female,IH,EnemySpy,Pre,2,5,7,
14,IH_First,TikTok,44,Female,IH,EnemySpy,Post,3,4,7,
14,IH_First,TikTok,44,Female,IB,Exam,Pre,2,6,7,
14,IH_First,TikTok,44,Female,IB,Exam,Post,5,4,7,
15,IB_First,TikTok,37,Female,IH,Passcode,Pre,1,6,7,
15,IB_First,TikTok,37,Female,IH,Passcode,Post,1,7,7,
15,IB_First,TikTok,37,Female,IB,Architect,Pre,5,2,7,
15,IB_First,TikTok,37,Female,IB,Architect,Post,5,2,7,
16,IB_First,TikTok,45,Female,IH,Hostage,Pre,4,3,7,
16,IB_First,TikTok,45,Female,IH,Hostage,Post,4,4,7,"He's met with the leader, so he could kill him instantly."
16,IB_First,TikTok,45,Female,IB,Donation,Pre,1,7,7,I feel it would be more rewarding on this occasion to donate the money where you can see the benefits.
16,IB_First,TikTok,45,Female,IB,Donation,Post,1,7,7,"I believe we need to help charities closer to home, even though I wish we could donate to all."
17,IH_First,TikTok,30,Male,IH,Bomb,Pre,6,6,7,
17,IH_First,TikTok,30,Male,IH,Bomb,Post,6,6,7,
17,IH_First,TikTok,30,Male,IB,Marathon,Pre,1,7,7,
17,IH_First,TikTok,30,Male,IB,Marathon,Post,1,7,7,
18,IH_First,TikTok,36,Female,IH,Sniper,Pre,6,3,7,
18,IH_First,TikTok,36,Female,IH,Sniper,Post,5,3,7,
18,IH_First,TikTok,36,Female,IB,Volunteering,Pre,5,4,7,
18,IH_First,TikTok,36,Female,IB,Volunteering,Post,6,5,7,
19,IH_First,TikTok,60,Female,IH,Bomb,Pre,1,7,6,Sometimes you have to have the courage of your moral convictions.
19,IH_First,TikTok,60,Female,IH,Bomb,Post,1,7,7,Julie has no idea if the gunman will keep his word. She may be coerced into committing the ultimate crime with no guarantee and I don't feel that she should do it anyway.
19,IH_First,TikTok,60,Female,IB,Exam,Pre,7,7,7,"The online tutoring won't take all day, and Bob can then help his nephew in his free time."
19,IH_First,TikTok,60,Female,IB,Exam,Post,7,7,7,See my previous answer.
20,IH_First,TikTok,32,Female,IH,Sniper,Pre,5,3,7,
20,IH_First,TikTok,32,Female,IH,Sniper,Post,6,4,7,
20,IH_First,TikTok,32,Female,IB,Marathon,Pre,4,3,7,"I tend to think the more focused a charity's aim, the more effective donated money is, but I'm really not sure here which one would receive the most benefit"
20,IH_First,TikTok,32,Female,IB,Marathon,Post,5,3,7,
21,IH_First,TikTok,27,Female,IH,Hostage,Pre,1,1,7,
21,IH_First,TikTok,27,Female,IH,Hostage,Post,1,1,7,
21,IH_First,TikTok,27,Female,IB,Marathon,Pre,3,3,7,
21,IH_First,TikTok,27,Female,IB,Marathon,Post,3,3,7,
22,IH_First,TikTok,25,Male,IH,Passcode,Pre,5,6,3,
22,IH_First,TikTok,25,Male,IH,Passcode,Post,6,6,5,
22,IH_First,TikTok,25,Male,IB,Marathon,Pre,3,5,7,
22,IH_First,TikTok,25,Male,IB,Marathon,Post,6,6,7,
23,IH_First,TikTok,39,Female,IH,Sniper,Pre,5,3,7,
23,IH_First,TikTok,39,Female,IH,Sniper,Post,6,2,7,
23,IH_First,TikTok,39,Female,IB,Donation,Pre,4,7,7,
23,IH_First,TikTok,39,Female,IB,Donation,Post,6,2,7,
24,IB_First,TikTok,53,Female,IH,Hostage,Pre,1,7,7,"Hostage negotiation doesn't work like this, there isn't any situation where you will kill 1 to save 5"
24,IB_First,TikTok,53,Female,IH,Hostage,Post,1,7,7,Still not how hostage negotiation works.
24,IB_First,TikTok,53,Female,IB,Exam,Pre,4,5,7,"
feel like the sister should have better knowledge of her son's academic situation, not really Bob's problem."
24,IB_First,TikTok,53,Female,IB,Exam,Post,7,7,7,James can join the online session. If he's struggling that badly then 1 session of 1 to 1 isn't going to solve anything.
25,IH_First,TikTok,29,Female,IH,Bomb,Pre,2,5,6,
25,IH_First,TikTok,29,Female,IH,Bomb,Post,3,5,6,
25,IH_First,TikTok,29,Female,IB,Exam,Pre,5,5,6,
25,IH_First,TikTok,29,Female,IB,Exam,Post,5,6,6,
26,IH_First,TikTok,23,Female,IH,Passcode,Pre,4,2,1,
26,IH_First,TikTok,23,Female,IH,Passcode,Post,4,1,1,
26,IH_First,TikTok,23,Female,IB,Donation,Pre,4,2,2,
26,IH_First,TikTok,23,Female,IB,Donation,Post,4,2,2,
27,IB_First,TikTok,43,Female,IH,Hostage,Pre,1,3,6,
27,IB_First,TikTok,43,Female,IH,Hostage,Post,1,4,6,
27,IB_First,TikTok,43,Female,IB,Donation,Pre,6,6,7,
27,IB_First,TikTok,43,Female,IB,Donation,Post,6,6,7,
28,IH_First,TikTok,37,Male,IH,Passcode,Pre,2,3,5,
28,IH_First,TikTok,37,Male,IH,Passcode,Post,3,3,4,
28,IH_First,TikTok,37,Male,IB,Exam,Pre,6,6,6,
28,IH_First,TikTok,37,Male,IB,Exam,Post,7,7,6,
29,IH_First,TikTok,34,Female,IH,EnemySpy,Pre,5,3,5,
29,IH_First,TikTok,34,Female,IH,EnemySpy,Post,5,4,6,
29,IH_First,TikTok,34,Female,IB,Marathon,Pre,2,5,6,
29,IH_First,TikTok,34,Female,IB,Marathon,Post,4,4,6,
30,IH_First,TikTok,25,Female,IH,Passcode,Pre,2,3,6,It isn't a police officers place to choose who should get hurt
30,IH_First,TikTok,25,Female,IH,Passcode,Post,3,3,7,They can't guarantee it will work.
30,IH_First,TikTok,25,Female,IB,Exam,Pre,7,6,7,He has already made a commitment. His nephew can join the session.
30,IH_First,TikTok,25,Female,IB,Exam,Post,7,7,7,His nephew can join the workshop
31,IH_First,TikTok,43,Female,IH,EnemySpy,Pre,1,7,7,
31,IH_First,TikTok,43,Female,IH,EnemySpy,Post,1,7,7,
31,IH_First,TikTok,43,Female,IB,Architect,Pre,1,7,7,
31,IH_First,TikTok,43,Female,IB,Architect,Post,1,7,7,
32,IB_First,TikTok,37,Female,IH,Bomb,Pre,4,2,4,
32,IB_First,TikTok,37,Female,IH,Bomb,Post,4,1,4,
32,IB_First,TikTok,37,Female,IB,Architect,Pre,4,3,5,
32,IB_First,TikTok,37,Female,IB,Architect,Post,6,5,5,
33,IH_First,TikTok,49,Female,IH,Sniper,Pre,5,5,7,
33,IH_First,TikTok,49,Female,IH,Sniper,Post,5,5,7,
33,IH_First,TikTok,49,Female,IB,Volunteering,Pre,2,6,7,
33,IH_First,TikTok,49,Female,IB,Volunteering,Post,2,6,7,
34,IB_First,TikTok,30,Female,IH,Passcode,Pre,1,4,7,
34,IB_First,TikTok,30,Female,IH,Passcode,Post,2,3,7,
34,IB_First,TikTok,30,Female,IB,Architect,Pre,5,6,7,
34,IB_First,TikTok,30,Female,IB,Architect,Post,5,6,7,
35,IB_First,TikTok,43,Female,IH,Sniper,Pre,5,5,7,
35,IB_First,TikTok,43,Female,IH,Sniper,Post,7,7,7,
35,IB_First,TikTok,43,Female,IB,Architect,Pre,7,7,7,
35,IB_First,TikTok,43,Female,IB,Architect,Post,7,7,7,
36,IB_First,TikTok,35,Female,IH,Hostage,Pre,1,5,3,
36,IB_First,TikTok,35,Female,IH,Hostage,Post,2,1,3,
36,IB_First,TikTok,35,Female,IB,Marathon,Pre,4,1,5,
36,IB_First,TikTok,35,Female,IB,Marathon,Post,4,1,5,
37,IB_First,TikTok,30,Female,IH,Passcode,Pre,5,3,6,
37,IB_First,TikTok,30,Female,IH,Passcode,Post,6,3,6,
37,IB_First,TikTok,30,Female,IB,Donation,Pre,1,7,7,
37,IB_First,TikTok,30,Female,IB,Donation,Post,1,7,7,
38,IB_First,TikTok,24,Male,IH,EnemySpy,Pre,6,5,6,
38,IB_First,TikTok,24,Male,IH,EnemySpy,Post,7,7,7,
38,IB_First,TikTok,24,Male,IB,Marathon,Pre,5,5,5,
38,IB_First,TikTok,24,Male,IB,Marathon,Post,7,7,7,
39,IB_First,TikTok,42,Female,IH,EnemySpy,Pre,1,7,7,The end does not justify the means
39,IB_First,TikTok,42,Female,IH,EnemySpy,Post,1,7,7,The end still does not justify the means
39,IB_First,TikTok,42,Female,IB,Donation,Pre,3,5,5,He could just give to both
39,IB_First,TikTok,42,Female,IB,Donation,Post,4,4,5,
40,IH_First,TikTok,36,Female,IH,EnemySpy,Pre,4,1,3,
40,IH_First,TikTok,36,Female,IH,EnemySpy,Post,4,1,6,
40,IH_First,TikTok,36,Female,IB,Exam,Pre,2,5,7,
40,IH_First,TikTok,36,Female,IB,Exam,Post,3,3,6,
41,IH_First,Newspapers,28,Female,IH,EnemySpy,Pre,5,4,4,
41,IH_First,Newspapers,28,Female,IH,EnemySpy,Post,5,4,4,
41,IH_First,Newspapers,28,Female,IB,Marathon,Pre,3,5,5,
41,IH_First,Newspapers,28,Female,IB,Marathon,Post,5,5,5,
42,IB_First,TikTok,49,Male,IH,Passcode,Pre,2,6,7,Innocents should be protected.
42,IB_First,TikTok,49,Male,IH,Passcode,Post,3,5,7,Morally still wrong!
42,IB_First,TikTok,49,Male,IB,Exam,Pre,6,6,7,"I'd help James after the revision session, or invite him to it."
42,IB_First,TikTok,49,Male,IB,Exam,Post,6,5,7,"No change. Bob agreed to provide the revision session and should not back out whether it was for 1, 5 or 1000 people"
43,IB_First,TikTok,23,Female,IH,Passcode,Pre,4,4,6,
43,IB_First,TikTok,23,Female,IH,Passcode,Post,6,5,5,
43,IB_First,TikTok,23,Female,IB,Architect,Pre,5,4,5,
43,IB_First,TikTok,23,Female,IB,Architect,Post,5,5,5,
44,IH_First,TikTok,49,Female,IH,Bomb,Pre,7,7,7,
44,IH_First,TikTok,49,Female,IH,Bomb,Post,7,7,7,
44,IH_First,TikTok,49,Female,IB,Volunteering,Pre,3,6,4,
44,IH_First,TikTok,49,Female,IB,Volunteering,Post,5,4,4,
45,IB_First,TikTok,51,Female,IH,Hostage,Pre,1,6,7,
45,IB_First,TikTok,51,Female,IH,Hostage,Post,2,4,7,
45,IB_First,TikTok,51,Female,IB,Architect,Pre,6,6,7,
45,IB_First,TikTok,51,Female,IB,Architect,Post,7,7,7,
46,IH_First,TikTok,39,Female,IH,Hostage,Pre,1,7,7,
46,IH_First,TikTok,39,Female,IH,Hostage,Post,2,6,7,
46,IH_First,TikTok,39,Female,IB,Donation,Pre,2,7,7,
46,IH_First,TikTok,39,Female,IB,Donation,Post,2,6,7,
