id,dilemma_type,dilemma,advisor_type,counterbalancing,advisor_comparison_order,age,gender,attention,trust_baseline,trust_other_issues_baseline,empathy_baseline,competency_baseline,trust_overall,trust_other_issues_overall,empathy_overall,competency_overall,likely_human,surprised_AI,compare_trust_cons_deon,compare_trust_cons_util,compare_trust_norm_sens,compare_trust_non_norm_sens,compare_likely_human_cons_deon,compare_likely_human_cons_util,compare_likely_human_norm_sens,compare_likely_human_non_norm_sens,rank_likely_human_cons_deon,rank_likely_human_cons_util,rank_likely_human_norm_sens,rank_likely_human_non_norm_sens,own_judgement_baseline,own_judgement_irrelevant,own_judgement_relevant
1,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyIrrelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,22,Male,TikTok,3,2,2,3,2,2,1,1,1,1,3,6,5,3,3,7,6,3,4,1,2,3,7,7,7
2,InstrumentalHarm,Hostage,NormativelySensitive,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian,24,Male,TikTok,6,4,3,3,5,4,4,3,3,3,5,3,5,2,1,5,7,3,3,2,1,4,2,4,6
3,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian,42,Male,TikTok,6,6,2,6,6,6,1,6,3,2,7,1,5,1,6,1,6,7,1,4,2,3,2,2,2
4,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,25,Female,TikTok,3,2,1,2,3,4,2,3,3,3,5,2,6,2,4,2,6,3,2,4,1,3,3,3,4
5,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,26,Male,TikTok,7,5,5,7,1,1,1,1,4,1,7,3,5,1,7,3,6,5,1,4,2,3,1,1,1
6,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive,36,Female,TikTok,7,7,7,7,2,2,2,3,1,1,7,1,6,2,7,7,1,4,4,3,1,2,1,1,7
7,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,33,Female,TikTok,4,4,4,4,2,3,2,3,3,2,3,2,6,3,5,2,7,2,2,4,1,3,3,4,6
8,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive,20,Male,TikTok,3,3,2,3,1,1,1,1,3,1,1,1,4,1,4,4,2,4,3,2,1,4,6,6,7
9,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive,30,Female,TikTok,3,3,3,3,4,4,4,4,5,5,2,6,5,1,4,3,4,4,2,1,3,4,6,6,7
10,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyIrrelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive,39,Male,TikTok,6,6,6,6,6,6,6,5,2,2,6,2,3,1,4,5,5,2,3,2,1,4,2,2,4
